id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
350,BRITANNIA,Mar 2016,8397,7174,1224.0,15.0,115,5,113,1220,32.0,825,34.0,29.0,429.0,24.0,2068.0,131.0,1271.0,3494.0,950.0,90.0,788.0,1665.0,3494.0,341.0,959.0,-705.0,-246.0,8.0,9.824937477670597,0.06261950286806883,254.0
351,BRITANNIA,Mar 2017,9054,7776,1278.0,14.0,151,5,119,1304,32.0,885,37.0,30.0,430.0,24.0,2672.0,125.0,1288.0,4109.0,1160.0,30.0,487.0,2432.0,4109.0,342.0,441.0,-150.0,-295.0,-4.0,9.774685222001326,0.04636498516320475,291.0
352,BRITANNIA,Mar 2018,9914,8413,1501.0,15.0,166,8,142,1518,34.0,1004,42.0,30.0,431.0,24.0,3382.0,201.0,1581.0,5188.0,1346.0,203.0,1079.0,2560.0,5188.0,343.0,1249.0,-957.0,-232.0,60.0,10.12709299979826,0.05901350557839107,292.0
353,BRITANNIA,Mar 2019,11055,9322,1732.0,16.0,206,9,162,1768,35.0,1155,48.0,31.0,432.0,24.0,4229.0,156.0,1829.0,6238.0,1688.0,101.0,1476.0,2972.0,6238.0,344.0,1156.0,-852.0,-353.0,-49.0,10.44776119402985,0.03667999059487421,304.0
354,BRITANNIA,Mar 2020,11600,9756,1843.0,16.0,263,77,185,1844,24.0,1394,58.0,60.0,433.0,24.0,4379.0,1538.0,1889.0,7830.0,1878.0,40.0,2893.0,3019.0,7830.0,345.0,1485.0,-1526.0,58.0,17.0,12.01724137931035,0.3493072904837611,-41.0
355,BRITANNIA,Mar 2021,13136,10627,2509.0,19.0,313,111,198,2514,26.0,1851,77.0,204.0,434.0,24.0,3524.0,2122.0,2331.0,8000.0,1793.0,117.0,2781.0,3310.0,8000.0,346.0,1876.0,433.0,-2242.0,66.0,14.09104750304507,0.5980834272829764,2309.0
356,BRITANNIA,Mar 2022,14136,11935,2201.0,16.0,222,144,201,2078,27.0,1516,63.0,89.0,435.0,24.0,2534.0,2481.0,2487.0,7527.0,1753.0,536.0,1762.0,3475.0,7527.0,347.0,1300.0,914.0,-2246.0,-32.0,10.72439162422184,0.9698983580922595,2214.0
357,BRITANNIA,Mar 2023,16301,13470,2831.0,17.0,597,169,226,3033,24.0,2316,96.0,75.0,436.0,24.0,3510.0,2997.0,2819.0,9351.0,2655.0,105.0,3324.0,3266.0,9351.0,348.0,2526.0,-1507.0,-1028.0,-9.0,14.20771731795595,0.8480475382003395,1019.0
358,BRITANNIA,Mar 2024,16769,13603,3167.0,19.0,211,164,300,2913,27.0,2134,89.0,83.0,437.0,24.0,3917.0,2065.0,3065.0,9072.0,2771.0,188.0,2767.0,3346.0,9072.0,349.0,2573.0,477.0,-2830.0,219.0,12.72586319995229,0.5239786856127886,3050.0
359,BRITANNIA,TTM,17244,14107,3136.0,18.0,182,121,308,2889,,2129,89.0,,,,,,,,,,,,,,,,,,12.34632335884945,,
